**Summary**

Anna Karenina, the beautiful and passionate wife of the high‑ranking Petersburg official Alexey Alexandrovitch Karenin, falls in love with the dashing cavalry officer Count Vronsky. Trapped in a loveless marriage and constrained by the rigid social codes of 1870s Russian aristocracy, Anna abandons her husband and her young son Seryozha to live openly with Vronsky. Initially ecstatic, Anna grows increasingly jealous and isolated as society shuns her and Vronsky’s ardor cools. In parallel, Konstantin Levin, a socially awkward landowner, marries Princess Kitty Shtcherbatskaya after surviving romantic disappointment. Levin struggles with faith, modernity, and the meaning of life, eventually finding spiritual peace. Anna, consumed by paranoia and despair, commits suicide by throwing herself under a train. Vronsky, devastated, volunteers for the war in Servia. Karenin raises Seryozha and Anna’s infant daughter. Levin, having discovered faith through lived experience rather than doctrine, finds joy in his family and daily labor.

---

**Author**

**Leo Tolstoy** (1828–1910) was a Russian novelist, philosopher, and moral thinker, universally regarded as one of the greatest writers in world literature. Born into an old aristocratic family at Yasnaya Polyana, he served as an artillery officer in the Crimean War before embarking on a literary career. His early masterpieces, *War and Peace* (1869) and *Anna Karenina* (1877), established his reputation for unparalleled psychological realism, epic scope, and deep moral seriousness. After completing *Anna Karenina*, Tolstoy underwent a profound spiritual crisis that led him to reject organized religion, private property, and his own earlier works in favor of a radical Christian anarchism. His later writings, including *The Death of Ivan Ilyich* (1886) and *Resurrection* (1899), reflect these beliefs. Tolstoy’s influence on twentieth‑century literature, from James Joyce to Virginia Woolf to Thomas Mann, is immeasurable.

---

**Importance**

*Anna Karenina* is widely considered one of the greatest novels ever written. It is the apotheosis of literary realism—a novel that balances intimate psychological portraiture with sweeping social critique, following multiple characters with symphonic coherence. Its opening sentence (“Happy families are all alike; every unhappy family is unhappy in its own way”) has become proverbial. The novel has inspired countless adaptations, including ballets, operas, films, and television series, and its central character remains one of literature’s most complex, sympathetic, and tragic heroines.

---

**Themes**

- Adultery, jealousy, and the destructive power of passion
- The hypocritical moral codes of aristocratic society
- The tension between individual desire and social obligation
- Family happiness (the Oblonskys, the Levins) versus family destruction (the Karenins)
- Faith, doubt, and the search for life’s meaning
- The contrast between city (artificial, corrupt) and country (authentic, life‑giving)
- Modernity, railroads, industrialization, and their discontents
- Forgiveness, both Christian and human
- Death and the fear of death

---

**Message**

Tolstoy presents no simple moral lesson. Anna is not merely punished for adultery—she is destroyed by a society that tolerates the same infidelity in men (Stiva, Vronsky) but condemns women who transgress. Karenin’s initial Christian forgiveness is portrayed as admirable, yet it fails to save Anna or restore their marriage. Levin’s spiritual journey, culminating not in a creed but in a lived sense of goodness, suggests that meaning comes not from abstract philosophy but from loving others and working the land. The novel ultimately affirms that happiness lies not in romantic passion (which burns out) but in family, labor, and an acceptance of life’s mystery. Yet Anna’s tragedy remains fully tragic: she is not a villain but a woman who wanted to live fully, and was crushed for it.

---

## Phases

The following eight phases correspond exactly to the eight parts of the novel as they appear in the attached text. Each phase is a coherent narrative block with its own rising action and resolution.

| Phase | Title | Chapters | Brief Description |
|-------|-------|----------|-------------------|
| **Phase 1** | The Oblonsky Crisis and Anna’s Arrival | Part 1, Ch 1–34 | Introduces the Oblonsky household in chaos after Stiva’s infidelity. Levin arrives in Moscow, proposes to Kitty, and is refused. Vronsky enters. Anna arrives from Petersburg to reconcile Stiva and Dolly. At a ball, Kitty is humiliated when Vronsky dances with Anna. Anna returns to Petersburg, followed by Vronsky. The phase ends with Anna and Vronsky becoming lovers and Anna’s growing revulsion toward her husband. |
| **Phase 2** | Kitty’s Illness and Levin’s Rural Life | Part 2, Ch 1–35 | Kitty falls ill after her humiliation; the Shtcherbatskys go abroad. Levin returns to his estate, throws himself into farming and the spring. He visits his dying brother Nikolay. Meanwhile, Vronsky’s life in Petersburg continues; he enters a horse race. Anna watches, becomes distraught when Vronsky falls, and confesses her love to Karenin. Anna becomes pregnant. The phase ends with Karenin’s internal struggle and Vronsky’s attempted suicide after Karenin’s forgiveness. |
| **Phase 3** | Levin’s Farming and Spiritual Struggles | Part 3, Ch 1–32 | Levin works on his estate and his book on agriculture. He struggles with the meaning of life and his relationship with the peasants. He receives news that Kitty is abroad. He visits his brother Nikolay again, who is dying. The phase focuses on Levin’s inner development and his gradual recovery from romantic disappointment. |
| **Phase 4** | Confession, Forgiveness, and New Beginnings | Part 4, Ch 1–23 | Anna confesses her affair to Karenin. She falls deathly ill after childbirth; Karenin forgives her and Vronsky. Vronsky, humiliated, attempts suicide. Anna recovers but cannot bear Karenin’s forgiveness. Meanwhile, Levin and Kitty reconcile and marry. The phase contains a double resolution: Anna is forgiven but unchanged; Levin finds happiness. |
| **Phase 5** | Marriage and Life Abroad | Part 5, Ch 1–33 | Levin and Kitty marry and struggle through the difficult early months of marriage. Kitty discovers she is pregnant. Anna and Vronsky travel abroad (Italy, then a German town), then return to Russia. Anna is ostracized by society and unable to see her son Seryozha. The phase deepens the contrast between Levin’s domestic joy and Anna’s increasing isolation. |
| **Phase 6** | Country Life and Growing Tension | Part 6, Ch 1–32 | The Levins spend the summer at Pokrovskoe with Kitty’s family and friends. Dolly visits Anna and Vronsky at Vozdvizhenskoe. Anna’s jealousy of Vronsky intensifies. Levin becomes jealous of a visitor, Veslovsky, but reconciles with Kitty. Anna writes to Karenin asking for a divorce. The phase ends with Anna and Vronsky moving to Moscow. |
| **Phase 7** | The Breakdown and Suicide | Part 7, Ch 1–31 | The Levins are in Moscow for Kitty’s confinement. Levin’s spiritual crisis deepens. Kitty gives birth to a son, Dmitri, but Levin feels no expected joy—only terror and pity. Anna and Vronsky’s relationship deteriorates into daily quarrels. After a final fight, Anna commits suicide by throwing herself under a train. The phase contains the novel’s climax and emotional nadir. |
| **Phase 8** | Aftermath and Levin’s Faith | Part 8, Ch 1–19 | The aftermath of Anna’s death: Vronsky, devastated, volunteers for the war in Servia. Karenin takes custody of Anna’s infant daughter. Levin, still tormented by thoughts of death and meaning, overhears a peasant’s simple faith—“to live for God, for the soul”—and experiences a sudden spiritual awakening. He remains a believer in life, not in doctrine, and finds peace in his family and work. The phase resolves Levin’s spiritual search, offering a counterweight to Anna’s tragedy. |

---

Here is the complete chapter‑by‑chapter table for **Part 1** of *Anna Karenina*, based strictly on the original text you attached. Each chapter is assigned to **Phase 1** (The Oblonsky Crisis and Anna’s Arrival). Titles are short (20–30 characters). Categories follow the Effi Briest template.

---

## Part 1, Chapters 1–34

| Ch | Title | Phase | Category | Summary |
|----|-------|-------|----------|---------|
| 1 | Household in Chaos | Phase 1 | Exp | Dolly discovers Stiva’s affair with the French governess. The Oblonsky household is in turmoil: the wife stays in her room, the husband is absent, children run wild, servants quarrel. The famous opening sentence states that unhappy families are each unhappy in their own way. |
| 2 | Stiva Wakes Up | Phase 1 | Exp | Stiva wakes on his study sofa, recalls a pleasant dream, and faces his situation. He is a handsome, amiable 34‑year‑old who regrets only that he did not hide his infidelity better. His valet Matvey brings a telegram announcing that Stiva’s sister, Anna Karenina, is coming from Petersburg. |
| 3 | Morning Routine | Phase 1 | Exp | Stiva dresses, reads his mail and a liberal newspaper, drinks coffee. He owes his government position to his sister’s husband, Karenin. His children visit briefly. He deals with a petitioner. The chapter establishes Stiva’s character and social world. |
| 4 | Confronting Dolly | Phase 1 | Comp | Stiva goes to Dolly’s room. She is packing children’s clothes, considering leaving him. She looks aged and worn. He begs forgiveness. She accuses him of being heartless. Their young child cries, softening her, but she ultimately screams at him to leave. Stiva reflects she will “come round.” |
| 5 | Levin Visits Stiva | Phase 1 | Exp | Stiva goes to his government office, where he is well liked. Levin, a landowner, arrives to see him. Levin is awkward, intense, and dressed unfashionably. He has come from the country with a purpose he is too shy to disclose. |
| 6 | Levin’s Secret | Phase 1 | Exp | Levin asks about the Shtcherbatsky family. Stiva realizes Levin is in love with Kitty, Dolly’s younger sister. Levin admits he has come to propose. Stiva advises him to go to the Shtcherbatskys’ that evening. Levin is nervous and elated. |
| 7 | Levin’s Brother | Phase 1 | Exp | Levin visits his half‑brother Sergey Ivanovitch Koznishev, a famous intellectual. Koznishev is arguing with a professor about psychology and physiology. Levin, a natural science graduate, finds the discussion unsatisfying. He loses courage to speak of his marriage plans. |
| 8 | Talk of Nikolay | Phase 1 | Int | Levin and Koznishev discuss farming and local government. Levin has resigned from the district council, finding it useless. They mention their other brother, Nikolay, who is dissipated, ill, and estranged. Levin resolves to visit Nikolay later. |
| 9 | At the Skating Rink | Phase 1 | Comp | Levin goes to the public gardens where Kitty is skating. He sees her and is overcome with emotion. She is graceful and radiant. They skate together. He awkwardly says he wants to see her later. She replies, “Good‑bye till this evening.” Levin is ecstatic. |
| 10 | Lunch with Stiva | Phase 1 | Dig | Levin and Stiva dine at a restaurant. Levin is uncomfortable with the artificiality of city life. Stiva orders oysters and champagne. Levin confesses his love for Kitty and his fear of rejection. Stiva reassures him, saying Dolly predicts Kitty will accept him. |
| 11 | Vronsky Mentioned | Phase 1 | Comp | Stiva tells Levin about Vronsky, a wealthy, handsome aide‑de‑camp who has been paying attention to Kitty. Levin is jealous. Stiva advises him to propose tomorrow morning. Levin feels his pure feeling has been profaned. Stiva confesses his own marital troubles. |
| 12 | Kitty’s Two Suitors | Phase 1 | Exp | Kitty is eighteen, enjoying her first winter in society. Two suitors have appeared: Levin and Vronsky. Her mother favors Vronsky (brilliant match), her father favors Levin (solid, sincere). Kitty herself is torn. Vronsky’s intentions remain unclear. |
| 13 | Levin Proposes | Phase 1 | Turn | Levin arrives early at the Shtcherbatskys’. He knows she expects a proposal. He tells her he came “to be my wife.” She replies, “That cannot be… forgive me.” He leaves in despair. The moment is the turning point for Levin’s romantic hopes. |
| 14 | Vronsky Arrives | Phase 1 | Comp | The princess enters and sees Kitty’s distress. Guests arrive, including Countess Nordston (who dislikes Levin) and Vronsky. Levin stays, watching Vronsky. He sees that Kitty loves Vronsky. Levin, jealous and miserable, leaves. |
| 15 | Parents Argue | Phase 1 | Int | Kitty lies awake, feeling sorry for Levin but happy she chose Vronsky. Her parents argue: the prince calls Vronsky a “Petersburg swell” and prefers Levin; the princess defends her matchmaking. They go to bed unreconciled. |
| 16 | Vronsky’s Background | Phase 1 | Exp | Vronsky’s mother was a brilliant society woman with many affairs; his father he scarcely remembers. He was educated in the Corps of Pages. He has never considered marriage. His flirtation with Kitty is a pleasant game, not a serious courtship. |
| 17 | At the Station | Phase 1 | Comp | Vronsky goes to meet his mother. Stiva is there to meet Anna. They chat. Vronsky mentions he knows Karenin by reputation. The train arrives. Vronsky helps his mother out of the carriage. |
| 18 | First Sight of Anna | Phase 1 | Turn | As Vronsky gets off the train, he steps aside to let a lady pass. It is Anna. He is struck by her beauty and the “suppressed eagerness” in her face. She is traveling with Vronsky’s mother. A guard is crushed by the train. Anna is horrified. Vronsky gives 200 roubles to the widow. |
| 19 | Anna Comforts Dolly | Phase 1 | Comp | Anna arrives at the Oblonskys’. Dolly is cold at first but soon softens. Anna listens to Dolly’s story and gently urges her to forgive Stiva. She argues that Stiva is genuinely remorseful and that Dolly still loves him. Dolly is moved. They reconcile. |
| 20 | Anna with the Children | Phase 1 | Exp | Anna spends the day with Dolly and the children. She writes a note to Stiva telling him to come home for dinner. Kitty arrives. Anna charms Kitty immediately. The children adore Anna. At dinner, the family is cheerful. Stiva and Dolly are reconciled. |
| 21 | Vronsky Calls | Phase 1 | Comp | After dinner, Anna goes to her room. A visitor arrives: Vronsky, who has come to see Stiva but refuses to come up. Kitty blushes, thinking Vronsky came for her. Everyone feels awkward. Anna senses something strange. |
| 22 | The Ball Begins | Phase 1 | Exp | The ball. Kitty is radiant in a pink tulle dress. She dances with Korsunsky, the ball director. She sees Anna in a black velvet gown, simple but dazzling. Anna is dancing with Vronsky. |
| 23 | Kitty’s Humiliation | Phase 1 | Turn | During the mazurka, Kitty refuses partners, hoping Vronsky will ask her. Instead, he dances with Anna. Kitty sees them as if alone in the crowded room. Anna’s face shows the intoxication of success; Vronsky’s shows humble submission. Kitty is crushed. She has lost both Levin and Vronsky. |
| 24 | Levin’s Shame | Phase 1 | Int | Levin walks home after his rejection, feeling humiliated and worthless. He recalls his brother Nikolay’s dissolute life and resolves to visit him. He goes to Nikolay’s hotel room. |
| 25 | Visiting Nikolay | Phase 1 | Int | Levin finds Nikolay ill and living with a woman, Marya Nikolaevna. Nikolay talks about his socialist “productive association.” They argue, then reconcile. Levin is shaken by his brother’s suffering and poverty. |
| 26 | Return to Pokrovskoe | Phase 1 | Int | Levin returns home. The familiar sights—his dog Laska, his old nurse Agafea Mihalovna—calm him. He resolves to give up hoping for marriage, to work harder, and to live more simply. He feels a new determination. |
| 27 | Evening at Home | Phase 1 | Int | Levin sits in his study reading Tyndall on heat. He daydreams about his future farm and family. His nurse talks to him. He feels a strange peace, as if something in his soul has settled. |
